"","l1","l2","l3","TrainMetric","TestMetric"
"1",0.5,0.5,0.5,0.980792378772661,0.731293768111686
"2",0.6,0.5,0.5,0.998797081996198,0.736738187890315
"3",0.7,0.5,0.5,1,0.703475795709174
"4",0.8,0.5,0.5,1,0.713175005827424
"5",0.9,0.5,0.5,1,0.712725666571424
"6",0.5,0.6,0.5,0.993228691872346,0.695507644761589
"7",0.6,0.6,0.5,0.995159891029669,0.724158718034121
"8",0.7,0.6,0.5,0.999451008473565,0.725068103105922
"9",0.8,0.6,0.5,1,0.703060097560256
"10",0.9,0.6,0.5,1,0.71371292198505
"11",0.5,0.7,0.5,0.992055013777584,0.611585962612795
"12",0.6,0.7,0.5,0.999313322875596,0.665752005639374
"13",0.7,0.7,0.5,0.999551590673086,0.683497881520709
"14",0.8,0.7,0.5,1,0.701810138331664
"15",0.9,0.7,0.5,1,0.690079860412672
"16",0.5,0.8,0.5,0.992440176629319,0.636390644316225
"17",0.6,0.8,0.5,0.999667683875833,0.650613810272732
"18",0.7,0.8,0.5,0.99995279901822,0.63527698614988
"19",0.8,0.8,0.5,1,0.690763233581944
"20",0.9,0.8,0.5,1,0.684377916720217
"21",0.5,0.9,0.5,0.992981842562507,0.629494829383941
"22",0.6,0.9,0.5,0.999478568777314,0.642995091649754
"23",0.7,0.9,0.5,0.999929198527329,0.631874262442262
"24",0.8,0.9,0.5,1,0.691598549198394
"25",0.9,0.9,0.5,1,0.683058904095382
"26",0.5,0.5,0.6,0.958243206170142,0.761397934305115
"27",0.6,0.5,0.6,0.981533117804679,0.822548051165496
"28",0.7,0.5,0.6,0.995103029821567,0.844230049118569
"29",0.8,0.5,0.6,0.998754816322619,0.84145350799479
"30",0.9,0.5,0.6,0.998754816322619,0.840044316657292
"31",0.5,0.6,0.6,0.979515142699266,0.711832046093238
"32",0.6,0.6,0.6,0.98173788983271,0.736730200067855
"33",0.7,0.6,0.6,0.993987258721721,0.823440192616021
"34",0.8,0.6,0.6,0.999248743862204,0.829432091914776
"35",0.9,0.6,0.6,0.999248743862204,0.842976221150395
"36",0.5,0.7,0.6,0.978494051580677,0.583492567503353
"37",0.6,0.7,0.6,0.991904370237988,0.710630259038998
"38",0.7,0.7,0.6,0.992074035276639,0.82074434984305
"39",0.8,0.7,0.6,0.999058836801112,0.847265166566407
"40",0.9,0.7,0.6,0.999154313588318,0.842108819192206
"41",0.5,0.8,0.6,0.962512980910565,0.663681285842476
"42",0.6,0.8,0.6,0.98373410734466,0.71974880711106
"43",0.7,0.8,0.6,0.989785435149589,0.772203003342622
"44",0.8,0.8,0.6,0.999342127622768,0.826735280026663
"45",0.9,0.8,0.6,0.999365996819569,0.83072464172879
"46",0.5,0.9,0.6,0.962081553512893,0.661323219250656
"47",0.6,0.9,0.6,0.981577184878876,0.689692898742629
"48",0.7,0.9,0.6,0.989482331350645,0.759372356521049
"49",0.8,0.9,0.6,0.999295958999146,0.825510482589316
"50",0.9,0.9,0.6,0.999295958999146,0.829499844291444
"51",0.5,0.5,0.7,0.920445203879516,0.803172113536616
"52",0.6,0.5,0.7,0.950522542832566,0.914563068472206
"53",0.7,0.5,0.7,0.988495117886227,0.945010485159751
"54",0.8,0.5,0.7,0.992750903279915,0.956247319367054
"55",0.9,0.5,0.7,0.992750903279915,0.956247319367054
"56",0.5,0.6,0.7,0.955341649791991,0.744649799531083
"57",0.6,0.6,0.7,0.95250406835647,0.817903953119851
"58",0.7,0.6,0.7,0.96978434049778,0.934774706131245
"59",0.8,0.6,0.7,0.992588118196885,0.955076861212322
"60",0.9,0.6,0.7,0.992588118196885,0.955076861212322
"61",0.5,0.7,0.7,0.937846742505672,0.669963888931119
"62",0.6,0.7,0.7,0.97192187065707,0.767078738874974
"63",0.7,0.7,0.7,0.973759798826411,0.881504507162619
"64",0.8,0.7,0.7,0.992680455444128,0.955457430785755
"65",0.9,0.7,0.7,0.992680455444128,0.955457430785755
"66",0.5,0.8,0.7,0.919464603469357,0.720483333116805
"67",0.6,0.8,0.7,0.9589359242209,0.774149538797429
"68",0.7,0.8,0.7,0.963106715537367,0.845829151167348
"69",0.8,0.8,0.7,0.992725577554429,0.954225215701449
"70",0.9,0.8,0.7,0.992725577554429,0.954225215701449
"71",0.5,0.9,0.7,0.921822543423599,0.719541181241923
"72",0.6,0.9,0.7,0.955739821378325,0.741139922611839
"73",0.7,0.9,0.7,0.965477937517704,0.833084914070123
"74",0.8,0.9,0.7,0.992725577554429,0.954225215701449
"75",0.9,0.9,0.7,0.992725577554429,0.954225215701449
"76",0.5,0.5,0.8,0.897254681036219,0.823658275846726
"77",0.6,0.5,0.8,0.941134579430909,0.925094355774943
"78",0.7,0.5,0.8,0.982813080496646,0.96020431713167
"79",0.8,0.5,0.8,0.988470080138608,0.977928563116785
"80",0.9,0.5,0.8,0.988470080138608,0.977928563116785
"81",0.5,0.6,0.8,0.926772983609824,0.774869894495903
"82",0.6,0.6,0.8,0.926862685754898,0.852878870169078
"83",0.7,0.6,0.8,0.954506631443236,0.944440287607233
"84",0.8,0.6,0.8,0.988735059656627,0.977146907270375
"85",0.9,0.6,0.8,0.988735059656627,0.977146907270375
"86",0.5,0.7,0.8,0.897971493149309,0.712782752825341
"87",0.6,0.7,0.8,0.931395592241286,0.764032854866079
"88",0.7,0.7,0.8,0.952979372952307,0.909283021182622
"89",0.8,0.7,0.8,0.988501600255217,0.975074173145634
"90",0.9,0.7,0.8,0.988501600255217,0.975074173145634
"91",0.5,0.8,0.8,0.880401887642927,0.748769130985287
"92",0.6,0.8,0.8,0.924701448417605,0.77799978353327
"93",0.7,0.8,0.8,0.942512385806302,0.87466421184298
"94",0.8,0.8,0.8,0.988215169893598,0.968611188421779
"95",0.9,0.8,0.8,0.988215169893598,0.968611188421779
"96",0.5,0.9,0.8,0.880401887642927,0.748769130985287
"97",0.6,0.9,0.8,0.91069668439124,0.766604033417784
"98",0.7,0.9,0.8,0.944016145204798,0.865459354812036
"99",0.8,0.9,0.8,0.988215169893598,0.968611188421779
"100",0.9,0.9,0.8,0.988215169893598,0.968611188421779
"101",0.5,0.5,0.9,0.887114394242851,0.844556602480483
"102",0.6,0.5,0.9,0.941086841037306,0.924115115665268
"103",0.7,0.5,0.9,0.959824416124049,0.928922932533069
"104",0.8,0.5,0.9,0.966197491670057,0.94684302654012
"105",0.9,0.5,0.9,0.966197491670057,0.94684302654012
"106",0.5,0.6,0.9,0.895892433324453,0.782509703592696
"107",0.6,0.6,0.9,0.912828809747162,0.8744098831432
"108",0.7,0.6,0.9,0.930656257632582,0.913255090778271
"109",0.8,0.6,0.9,0.966197491670057,0.94684302654012
"110",0.9,0.6,0.9,0.966197491670057,0.94684302654012
"111",0.5,0.7,0.9,0.868459625620207,0.703707836985351
"112",0.6,0.7,0.9,0.891635568927753,0.781620285034453
"113",0.7,0.7,0.9,0.938804931700728,0.905367462169088
"114",0.8,0.7,0.9,0.966197491670057,0.94684302654012
"115",0.9,0.7,0.9,0.966197491670057,0.94684302654012
"116",0.5,0.8,0.9,0.843694434460876,0.760939488206522
"117",0.6,0.8,0.9,0.878063086319363,0.80095066999851
"118",0.7,0.8,0.9,0.913479713894307,0.898023161346527
"119",0.8,0.8,0.9,0.964693732271561,0.954676947417519
"120",0.9,0.8,0.9,0.964693732271561,0.954676947417519
"121",0.5,0.9,0.9,0.843694434460876,0.760939488206522
"122",0.6,0.9,0.9,0.863915446593911,0.786724176687788
"123",0.7,0.9,0.9,0.913479713894307,0.898023161346527
"124",0.8,0.9,0.9,0.964693732271561,0.954676947417519
"125",0.9,0.9,0.9,0.964693732271561,0.954676947417519
