"","l1","l2","Training CC","Test CC","CC Pred. Error"
"2",0.1,0.05,1.8277,1.51609,0.311617251296557
"3",0.15,0.05,1.85729,1.51397,0.343316571324289
"4",0.2,0.05,1.87189,1.50678,0.365110902665914
"5",0.25,0.05,1.88554,1.47625,0.409289490731401
"6",0.3,0.05,1.89195,1.42653,0.46542519082015
"8",0.1,0.1,1.83495,1.51753,0.317417735821342
"9",0.15,0.1,1.85998,1.51912,0.3408629699861
"10",0.2,0.1,1.87794,1.51387,0.36407244153919
"11",0.25,0.1,1.88598,1.4854,0.400584135818915
"12",0.3,0.1,1.89132,1.43526,0.456065729907887
"14",0.1,0.15,1.92087,1.55123,0.369639737529143
"15",0.15,0.15,1.93708,1.53722,0.399862338498655
"16",0.2,0.15,1.94561,1.51633,0.429279858024636
"17",0.25,0.15,1.95452,1.49159,0.462924064818702
"18",0.3,0.15,1.95872,1.43788,0.52084484135872
"21",0.15,0.2,1.99777,1.54117,0.456599830035723
"22",0.2,0.2,2.01428,1.5385,0.475779861187405
"23",0.25,0.2,2.01377,1.49049,0.523279000593496
"24",0.3,0.2,2.01764,1.45361,0.564025727297035
"27",0.15,0.25,2.05903,1.54284,0.516191520930541
"28",0.2,0.25,2.06,1.52691,0.533091481156448
"29",0.25,0.25,2.06077,1.5066,0.554167447809212
"30",0.3,0.25,2.06019,1.44599,0.614197883454357
"34",0.2,0.3,2.09226,1.51285,0.579412395339994
"35",0.25,0.3,2.09501,1.48954,0.605466685210835
"36",0.3,0.3,2.09208,1.44809,0.643991671097135
